index,product_name,error_type,error
0,Turtle Check Men Navy Blue Shirt,validation_error,"[{""type"": ""float_type"", ""loc"": [""price""], ""msg"": ""Input should be a valid number"", ""input"": null, ""url"": ""https://errors.pydantic.dev/2.12/v/float_type""}, {""type"": ""string_type"", ""loc"": [""image_base64""], ""msg"": ""Input should be a valid string"", ""input"": null, ""url"": ""https://errors.pydantic.dev/2.12/v/string_type""}]"
1,Peter England Men Party Blue Jeans,validation_error,"[{""type"": ""float_type"", ""loc"": [""price""], ""msg"": ""Input should be a valid number"", ""input"": null, ""url"": ""https://errors.pydantic.dev/2.12/v/float_type""}, {""type"": ""string_type"", ""loc"": [""image_base64""], ""msg"": ""Input should be a valid string"", ""input"": null, ""url"": ""https://errors.pydantic.dev/2.12/v/string_type""}]"
2,Titan Women Silver Watch,validation_error,"[{""type"": ""float_type"", ""loc"": [""price""], ""msg"": ""Input should be a valid number"", ""input"": null, ""url"": ""https://errors.pydantic.dev/2.12/v/float_type""}, {""type"": ""string_type"", ""loc"": [""image_base64""], ""msg"": ""Input should be a valid string"", ""input"": null, ""url"": ""https://errors.pydantic.dev/2.12/v/string_type""}]"
3,Manchester United Men Solid Black Track Pants,validation_error,"[{""type"": ""float_type"", ""loc"": [""price""], ""msg"": ""Input should be a valid number"", ""input"": null, ""url"": ""https://errors.pydantic.dev/2.12/v/float_type""}, {""type"": ""string_type"", ""loc"": [""image_base64""], ""msg"": ""Input should be a valid string"", ""input"": null, ""url"": ""https://errors.pydantic.dev/2.12/v/string_type""}]"
4,Puma Men Grey T-shirt,validation_error,"[{""type"": ""float_type"", ""loc"": [""price""], ""msg"": ""Input should be a valid number"", ""input"": null, ""url"": ""https://errors.pydantic.dev/2.12/v/float_type""}, {""type"": ""string_type"", ""loc"": [""image_base64""], ""msg"": ""Input should be a valid string"", ""input"": null, ""url"": ""https://errors.pydantic.dev/2.12/v/string_type""}]"
5,Inkfruit Mens Chain Reaction T-shirt,validation_error,"[{""type"": ""float_type"", ""loc"": [""price""], ""msg"": ""Input should be a valid number"", ""input"": null, ""url"": ""https://errors.pydantic.dev/2.12/v/float_type""}, {""type"": ""string_type"", ""loc"": [""image_base64""], ""msg"": ""Input should be a valid string"", ""input"": null, ""url"": ""https://errors.pydantic.dev/2.12/v/string_type""}]"
6,Fabindia Men Striped Green Shirt,validation_error,"[{""type"": ""float_type"", ""loc"": [""price""], ""msg"": ""Input should be a valid number"", ""input"": null, ""url"": ""https://errors.pydantic.dev/2.12/v/float_type""}, {""type"": ""string_type"", ""loc"": [""image_base64""], ""msg"": ""Input should be a valid string"", ""input"": null, ""url"": ""https://errors.pydantic.dev/2.12/v/string_type""}]"
7,Jealous 21 Women Purple Shirt,validation_error,"[{""type"": ""float_type"", ""loc"": [""price""], ""msg"": ""Input should be a valid number"", ""input"": null, ""url"": ""https://errors.pydantic.dev/2.12/v/float_type""}, {""type"": ""string_type"", ""loc"": [""image_base64""], ""msg"": ""Input should be a valid string"", ""input"": null, ""url"": ""https://errors.pydantic.dev/2.12/v/string_type""}]"
8,Puma Men Pack of 3 Socks,validation_error,"[{""type"": ""float_type"", ""loc"": [""price""], ""msg"": ""Input should be a valid number"", ""input"": null, ""url"": ""https://errors.pydantic.dev/2.12/v/float_type""}, {""type"": ""string_type"", ""loc"": [""image_base64""], ""msg"": ""Input should be a valid string"", ""input"": null, ""url"": ""https://errors.pydantic.dev/2.12/v/string_type""}]"
9,Skagen Men Black Watch,validation_error,"[{""type"": ""float_type"", ""loc"": [""price""], ""msg"": ""Input should be a valid number"", ""input"": null, ""url"": ""https://errors.pydantic.dev/2.12/v/float_type""}, {""type"": ""string_type"", ""loc"": [""image_base64""], ""msg"": ""Input should be a valid string"", ""input"": null, ""url"": ""https://errors.pydantic.dev/2.12/v/string_type""}]"
