strategy,document,config,sentence_boundary_rate,paragraph_boundary_rate
Fixed-Size,pdf,"chunk-size=1000,overlap=0",0.057,0.0
Fixed-Size,pdf,"chunk-size=1000,overlap=100",0.038,0.0
Fixed-Size,pdf,"chunk-size=1000,overlap=50",0.03,0.0
Fixed-Size,pdf,"chunk-size=2000,overlap=0",0.01,0.0
Fixed-Size,pdf,"chunk-size=2000,overlap=100",0.01,0.0
Fixed-Size,pdf,"chunk-size=2000,overlap=50",0.031,0.0
Fixed-Size,pdf,"chunk-size=500,overlap=0",0.044,0.0
Fixed-Size,pdf,"chunk-size=500,overlap=100",0.042,0.0
Fixed-Size,pdf,"chunk-size=500,overlap=50",0.014,0.0
Recursive-Character,pdf,"profile=line_first,chunk-size=1000,overlap=0",0.214,0.0
Recursive-Character,pdf,"profile=line_first,chunk-size=1000,overlap=100",0.129,0.0
Recursive-Character,pdf,"profile=line_first,chunk-size=1000,overlap=50",0.3,0.0
Recursive-Character,pdf,"profile=line_first,chunk-size=2000,overlap=0",0.143,0.0
Recursive-Character,pdf,"profile=line_first,chunk-size=2000,overlap=100",0.133,0.0
Recursive-Character,pdf,"profile=line_first,chunk-size=2000,overlap=50",0.0,0.0
Recursive-Character,pdf,"profile=line_first,chunk-size=500,overlap=0",0.172,0.0
Recursive-Character,pdf,"profile=line_first,chunk-size=500,overlap=100",0.239,0.0
Recursive-Character,pdf,"profile=line_first,chunk-size=500,overlap=50",0.286,0.0
Recursive-Character,pdf,"profile=semantic,chunk-size=1000,overlap=0",0.323,0.0
Recursive-Character,pdf,"profile=semantic,chunk-size=1000,overlap=100",0.206,0.0
Recursive-Character,pdf,"profile=semantic,chunk-size=1000,overlap=50",0.219,0.0
Recursive-Character,pdf,"profile=semantic,chunk-size=2000,overlap=0",0.25,0.0
Recursive-Character,pdf,"profile=semantic,chunk-size=2000,overlap=100",0.235,0.0
Recursive-Character,pdf,"profile=semantic,chunk-size=2000,overlap=50",0.312,0.0
Recursive-Character,pdf,"profile=semantic,chunk-size=500,overlap=0",0.25,0.0
Recursive-Character,pdf,"profile=semantic,chunk-size=500,overlap=100",0.208,0.0
Recursive-Character,pdf,"profile=semantic,chunk-size=500,overlap=50",0.182,0.0
Recursive-Character,pdf,"profile=sentence,chunk-size=1000,overlap=0",0.065,0.0
Recursive-Character,pdf,"profile=sentence,chunk-size=1000,overlap=100",0.0,0.029
Recursive-Character,pdf,"profile=sentence,chunk-size=1000,overlap=50",0.062,0.0
Recursive-Character,pdf,"profile=sentence,chunk-size=2000,overlap=0",0.071,0.0
Recursive-Character,pdf,"profile=sentence,chunk-size=2000,overlap=100",0.067,0.0
Recursive-Character,pdf,"profile=sentence,chunk-size=2000,overlap=50",0.067,0.0
Recursive-Character,pdf,"profile=sentence,chunk-size=500,overlap=0",0.031,0.0
Recursive-Character,pdf,"profile=sentence,chunk-size=500,overlap=100",0.013,0.0
Recursive-Character,pdf,"profile=sentence,chunk-size=500,overlap=50",0.015,0.0
Semantic,pdf,"threshold=0.65,sample=5000",1.0,0.0
Semantic,pdf,"threshold=0.70,sample=5000",1.0,0.0
Semantic,pdf,"threshold=0.75,sample=5000",1.0,0.0
Token-Based,pdf,"chunk-size=1000,overlap=0",0.042,0.0
Token-Based,pdf,"chunk-size=1000,overlap=100",0.013,0.0
Token-Based,pdf,"chunk-size=1000,overlap=50",0.027,0.0
Token-Based,pdf,"chunk-size=500,overlap=0",0.028,0.0
