date,total_appointments,attended_appointments,no_show_appointments,avg_wait_time_min,avg_visit_duration_min,reminder_coverage_rate,avg_lead_time_days,unique_providers,total_scheduled_minutes,total_capacity_minutes,no_show_rate,attendance_rate,estimated_utilization_rate
2016-04-29,3235,2602,633,24.03,20.54,0.39,11.77,163,66445,82650,0.1957,0.8043,0.8039
2016-05-02,4376,3515,861,51.96,20.66,0.52,9.6,167,90402,84510,0.1968,0.8032,1.0697
2016-05-03,4256,3425,831,47.15,20.73,0.47,8.95,167,88236,84510,0.1953,0.8047,1.0441
2016-05-04,4168,3195,973,46.91,20.41,0.39,8.89,168,85086,84960,0.2334,0.7666,1.0015
2016-05-05,4273,3466,807,48.62,20.63,0.37,8.94,165,88158,83580,0.1889,0.8111,1.0548
2016-05-06,3879,3084,795,38.26,20.6,0.35,9.37,166,79916,84060,0.2049,0.7951,0.9507
2016-05-09,4520,3501,1019,56.61,20.55,0.0,9.53,168,92901,84960,0.2254,0.7746,1.0935
2016-05-10,4308,3316,992,50.3,20.5,0.48,8.92,167,88316,84510,0.2303,0.7697,1.045
2016-05-11,4474,3589,885,56.53,20.4,0.39,9.54,167,91281,84510,0.1978,0.8022,1.0801
2016-05-12,4394,3557,837,54.3,20.46,0.36,9.28,166,89907,84060,0.1905,0.8095,1.0696
2016-05-13,3987,3082,905,41.23,20.66,0.0,9.81,168,82391,84960,0.227,0.773,0.9698
2016-05-14,39,30,9,14.05,24.74,0.33,4.23,37,965,18900,0.2308,0.7692,0.0511
2016-05-16,4613,3564,1049,62.33,20.46,0.0,10.34,167,94367,84510,0.2274,0.7726,1.1166
2016-05-17,4372,3437,935,54.89,20.4,0.0,9.38,167,89200,84480,0.2139,0.7861,1.0559
2016-05-18,4373,3483,890,53.8,20.37,0.0,9.94,168,89078,84960,0.2035,0.7965,1.0485
2016-05-19,4270,3378,892,50.26,20.49,0.0,10.09,168,87509,84960,0.2089,0.7911,1.03
2016-05-20,3828,2929,899,37.75,20.48,0.0,10.4,167,78407,84510,0.2348,0.7652,0.9278
2016-05-24,4009,3198,811,41.27,20.67,0.51,9.75,168,82880,84960,0.2023,0.7977,0.9755
2016-05-25,3909,3150,759,39.41,20.56,0.49,10.54,168,80384,84960,0.1942,0.8058,0.9461
2016-05-30,4514,3626,888,57.04,20.61,0.54,13.92,166,93014,84030,0.1967,0.8033,1.1069
2016-05-31,4279,3512,767,50.41,20.82,0.51,13.04,168,89107,84960,0.1792,0.8208,1.0488
2016-06-01,4464,3652,812,53.81,20.65,0.38,10.63,168,92171,84960,0.1819,0.8181,1.0849
2016-06-02,4310,3508,802,50.47,20.85,0.39,10.17,167,89847,84510,0.1861,0.8139,1.0632
2016-06-03,4090,3285,805,42.27,21.04,0.38,11.07,168,86056,84960,0.1968,0.8032,1.0129
2016-06-06,4692,3819,873,62.91,20.39,0.52,10.77,168,95690,84960,0.1861,0.8139,1.1263
2016-06-07,4416,3600,816,52.6,20.62,0.48,10.08,167,91049,84480,0.1848,0.8152,1.0778
2016-06-08,4479,3705,774,54.31,20.66,0.41,10.26,168,92536,84960,0.1728,0.8272,1.0892
