weekday,hour,specialty,total_appointments,no_show_count,attended_count,avg_lead_time_days,reminder_coverage_rate,no_show_rate
Friday,7,Behavioral Health,55,11,44,4.07,0.13,0.2
Friday,7,Chronic Care,240,54,186,9.96,0.22,0.225
Friday,7,Family Medicine,430,73,357,9.12,0.17,0.1698
Friday,7,Geriatrics,237,40,197,12.5,0.22,0.1688
Friday,7,Pediatrics,452,107,345,10.18,0.21,0.2367
Friday,7,Rehabilitation,35,3,32,8.71,0.09,0.0857
Friday,7,Women's Health,427,106,321,12.26,0.24,0.2482
Friday,8,Behavioral Health,55,10,45,8.18,0.13,0.1818
Friday,8,Chronic Care,185,42,143,10.33,0.26,0.227
Friday,8,Family Medicine,446,80,366,9.98,0.2,0.1794
Friday,8,Geriatrics,229,32,197,9.4,0.17,0.1397
Friday,8,Pediatrics,434,107,327,9.41,0.21,0.2465
Friday,8,Rehabilitation,33,2,31,10.64,0.15,0.0606
Friday,8,Women's Health,462,107,355,10.56,0.26,0.2316
Friday,9,Behavioral Health,45,6,39,5.24,0.16,0.1333
Friday,9,Chronic Care,227,45,182,9.85,0.21,0.1982
Friday,9,Family Medicine,481,97,384,10.35,0.2,0.2017
Friday,9,Geriatrics,230,37,193,12.35,0.22,0.1609
Friday,9,Pediatrics,455,121,334,9.65,0.23,0.2659
Friday,9,Rehabilitation,48,8,40,11.38,0.17,0.1667
Friday,9,Women's Health,434,124,310,11.35,0.28,0.2857
Friday,10,Behavioral Health,57,10,47,7.65,0.21,0.1754
Friday,10,Chronic Care,231,39,192,9.39,0.23,0.1688
Friday,10,Family Medicine,439,84,355,10.39,0.19,0.1913
Friday,10,Geriatrics,239,53,186,15.62,0.24,0.2218
Friday,10,Pediatrics,481,108,373,10.8,0.22,0.2245
Friday,10,Rehabilitation,49,10,39,10.02,0.18,0.2041
Friday,10,Women's Health,471,127,344,10.08,0.25,0.2696
Friday,11,Behavioral Health,54,11,43,7.04,0.19,0.2037
Friday,11,Chronic Care,210,46,164,10.23,0.17,0.219
Friday,11,Family Medicine,459,79,380,11.64,0.21,0.1721
Friday,11,Geriatrics,237,47,190,11.82,0.19,0.1983
Friday,11,Pediatrics,487,106,381,9.51,0.23,0.2177
Friday,11,Rehabilitation,42,5,37,3.95,0.1,0.119
Friday,11,Women's Health,476,126,350,10.5,0.23,0.2647
Friday,12,Behavioral Health,50,6,44,5.94,0.12,0.12
Friday,12,Chronic Care,237,39,198,10.13,0.24,0.1646
Friday,12,Family Medicine,438,93,345,9.84,0.21,0.2123
Friday,12,Geriatrics,261,28,233,14.38,0.21,0.1073
Friday,12,Pediatrics,449,103,346,9.92,0.24,0.2294
Friday,12,Rehabilitation,45,7,38,9.76,0.13,0.1556
Friday,12,Women's Health,421,100,321,11.2,0.3,0.2375
Friday,13,Behavioral Health,54,12,42,4.61,0.15,0.2222
Friday,13,Chronic Care,208,46,162,10.15,0.24,0.2212
Friday,13,Family Medicine,458,88,370,10.55,0.22,0.1921
Friday,13,Geriatrics,236,43,193,15.93,0.19,0.1822
Friday,13,Pediatrics,466,108,358,10.35,0.2,0.2318
Friday,13,Rehabilitation,43,10,33,6.88,0.07,0.2326
Friday,13,Women's Health,418,101,317,10.76,0.25,0.2416
Friday,14,Behavioral Health,54,10,44,5.56,0.13,0.1852
Friday,14,Chronic Care,214,40,174,10.01,0.2,0.1869
Friday,14,Family Medicine,417,68,349,10.28,0.2,0.1631
Friday,14,Geriatrics,260,39,221,12.11,0.2,0.15
Friday,14,Pediatrics,489,107,382,8.4,0.18,0.2188
Friday,14,Rehabilitation,40,4,36,6.38,0.15,0.1
Friday,14,Women's Health,425,97,328,10.89,0.29,0.2282
Friday,15,Behavioral Health,45,7,38,6.96,0.2,0.1556
Friday,15,Chronic Care,226,45,181,7.88,0.23,0.1991
Friday,15,Family Medicine,431,95,336,10.25,0.22,0.2204
Friday,15,Geriatrics,223,33,190,14.74,0.25,0.148
Friday,15,Pediatrics,489,108,381,9.36,0.22,0.2209
Friday,15,Rehabilitation,30,5,25,8.0,0.17,0.1667
Friday,15,Women's Health,452,130,322,10.53,0.23,0.2876
Friday,16,Behavioral Health,47,9,38,7.7,0.19,0.1915
Friday,16,Chronic Care,211,36,175,11.17,0.25,0.1706
Friday,16,Family Medicine,435,98,337,9.53,0.23,0.2253
Friday,16,Geriatrics,241,39,202,12.32,0.24,0.1618
Friday,16,Pediatrics,465,110,355,9.21,0.23,0.2366
Friday,16,Rehabilitation,40,7,33,11.02,0.12,0.175
Friday,16,Women's Health,429,103,326,11.64,0.28,0.2401
Monday,7,Behavioral Health,56,10,46,5.84,0.18,0.1786
