date,provider,specialty,total_appointments,attended_appointments,no_show_appointments,avg_wait_time_min,avg_visit_duration_min,total_scheduled_minutes,capacity_minutes,utilization_rate,no_show_rate,capacity_gap_minutes,utilization_status
2016-04-29,BH-01,Behavioral Health,4,4,0,19.5,30.5,122,480,0.2542,0.0,-358,Underused
2016-04-29,BH-02,Behavioral Health,1,1,0,16.0,26.0,26,480,0.0542,0.0,-454,Underused
2016-04-29,BH-03,Behavioral Health,4,4,0,15.5,27.5,110,480,0.2292,0.0,-370,Underused
2016-04-29,BH-04,Behavioral Health,7,5,2,16.57,26.86,188,480,0.3917,0.2857,-292,Underused
2016-04-29,BH-05,Behavioral Health,5,4,1,16.2,28.4,142,480,0.2958,0.2,-338,Underused
2016-04-29,BH-06,Behavioral Health,1,1,0,16.0,26.0,26,480,0.0542,0.0,-454,Underused
2016-04-29,BH-07,Behavioral Health,2,1,1,16.0,26.0,52,480,0.1083,0.5,-428,Underused
2016-04-29,BH-08,Behavioral Health,3,3,0,18.0,28.67,86,480,0.1792,0.0,-394,Underused
2016-04-29,BH-09,Behavioral Health,6,6,0,12.83,27.33,164,480,0.3417,0.0,-316,Underused
2016-04-29,BH-10,Behavioral Health,3,3,0,17.67,28.0,84,480,0.175,0.0,-396,Underused
2016-04-29,BH-11,Behavioral Health,4,4,0,15.5,27.0,108,480,0.225,0.0,-372,Underused
2016-04-29,BH-12,Behavioral Health,5,4,1,20.2,28.8,144,480,0.3,0.2,-336,Underused
2016-04-29,BH-13,Behavioral Health,4,2,2,15.5,28.5,114,480,0.2375,0.5,-366,Underused
2016-04-29,BH-14,Behavioral Health,2,1,1,18.5,29.0,58,480,0.1208,0.5,-422,Underused
2016-04-29,BH-15,Behavioral Health,4,3,1,17.5,28.0,112,480,0.2333,0.25,-368,Underused
2016-04-29,BH-16,Behavioral Health,1,1,0,13.0,28.0,28,480,0.0583,0.0,-452,Underused
2016-04-29,BH-17,Behavioral Health,4,4,0,16.75,29.5,118,480,0.2458,0.0,-362,Underused
2016-04-29,BH-18,Behavioral Health,5,5,0,18.2,29.2,146,480,0.3042,0.0,-334,Underused
2016-04-29,BH-20,Behavioral Health,2,1,1,19.0,31.0,62,480,0.1292,0.5,-418,Underused
2016-04-29,BH-21,Behavioral Health,8,6,2,15.12,28.25,226,480,0.4708,0.25,-254,Underused
2016-04-29,BH-22,Behavioral Health,2,2,0,17.5,29.0,58,480,0.1208,0.0,-422,Underused
