reminder_sent,weekday,specialty,total_appointments,attended_appointments,no_show_appointments,avg_lead_time_days,avg_wait_time_min,attendance_rate,no_show_rate,reminder_status
0,Friday,Behavioral Health,434,362,72,4.19,17.72,0.8341,0.1659,No Reminder
0,Friday,Chronic Care,1700,1390,310,6.42,21.73,0.8176,0.1824,No Reminder
0,Friday,Family Medicine,3523,2897,626,6.84,41.12,0.8223,0.1777,No Reminder
0,Friday,Geriatrics,1882,1584,298,9.23,40.94,0.8417,0.1583,No Reminder
0,Friday,Pediatrics,3647,2862,785,6.47,35.88,0.7848,0.2152,No Reminder
0,Friday,Rehabilitation,351,295,56,5.67,17.94,0.8405,0.1595,No Reminder
0,Friday,Women's Health,3272,2527,745,7.44,48.5,0.7723,0.2277,No Reminder
0,Monday,Behavioral Health,483,385,98,4.07,17.79,0.7971,0.2029,No Reminder
0,Monday,Chronic Care,1663,1377,286,6.65,28.47,0.828,0.172,No Reminder
0,Monday,Family Medicine,3659,3026,633,8.01,69.2,0.827,0.173,No Reminder
0,Monday,Geriatrics,1887,1636,251,8.77,53.08,0.867,0.133,No Reminder
0,Monday,Pediatrics,4069,3333,736,7.01,64.45,0.8191,0.1809,No Reminder
0,Monday,Rehabilitation,315,266,49,6.08,17.96,0.8444,0.1556,No Reminder
0,Monday,Women's Health,3495,2809,686,7.7,69.94,0.8037,0.1963,No Reminder
0,Saturday,Behavioral Health,2,2,0,3.5,14.5,1.0,0.0,No Reminder
0,Saturday,Chronic Care,9,7,2,1.44,17.11,0.7778,0.2222,No Reminder
0,Saturday,Family Medicine,6,4,2,2.5,13.67,0.6667,0.3333,No Reminder
0,Saturday,Geriatrics,7,5,2,3.43,16.14,0.7143,0.2857,No Reminder
0,Saturday,Women's Health,2,2,0,1.5,11.5,1.0,0.0,No Reminder
0,Thursday,Behavioral Health,337,282,55,3.96,17.77,0.8368,0.1632,No Reminder
0,Thursday,Chronic Care,1489,1275,214,5.11,29.41,0.8563,0.1437,No Reminder
0,Thursday,Family Medicine,3008,2542,466,5.79,62.44,0.8451,0.1549,No Reminder
0,Thursday,Geriatrics,1634,1404,230,5.28,47.21,0.8592,0.1408,No Reminder
0,Thursday,Pediatrics,3026,2486,540,5.59,50.57,0.8215,0.1785,No Reminder
0,Thursday,Rehabilitation,310,264,46,3.73,17.97,0.8516,0.1484,No Reminder
0,Thursday,Women's Health,2596,2185,411,5.43,60.92,0.8417,0.1583,No Reminder
0,Tuesday,Behavioral Health,421,352,69,4.26,18.09,0.8361,0.1639,No Reminder
