Country name,Life expectancy,Adult Mortality,Schooling,Developed,GDP per capita (WHO),Population (mln)
Turkiye,76.5,105.824,7.8,0,11006,78.53
Spain,82.8,57.9025,9.7,1,25742,46.44
Russia,71.2,223,12,0,9313,144.1
Cameroon,57.6,340.1265,6.1,0,1383,23.3
Gambia,60.9,261.7065,3.4,0,661,2.09
Algeria,76.1,95.8155,7.9,0,4178,39.73
Madagascar,65.5,218.4575,6.1,0,467,24.23
Norway,82.3,53.897,12.5,1,74356,5.19
Vietnam,75.1,124.547,8,0,2582,92.68
Eswatini,55.4,434.821,6.5,0,3680,1.1
Botswana,67.3,248.595,9.2,0,6403,2.12
Latvia,74.5,160.237,12.8,1,13786,1.98
Nepal,69.5,154.604,4.7,0,902,27.02
Congo (Kinshasa),59.3,260.0235,6.4,0,497,76.24
Ukraine,71.2,202.8,11.3,0,2125,45.15
Costa Rica,79.6,85.6715,8.8,0,11643,4.85
Israel,82.1,56.337,13,1,35808,8.38
New Zealand,81.5,67,12.4,1,38631,4.61
Chad,53.1,363.167,2.3,0,776,14.11
Iraq,69.9,162.9175,6.6,0,4688,35.57
Honduras,74.5,146.5195,6.3,0,2302,9.11
Guinea,59.6,262.871,2.6,0,769,11.43
Sweden,82.2,53.4415,12.4,1,51545,9.8
Indonesia,70.8,175.564,7.9,0,3332,258.38
Dominican Republic,73.2,161.617,7.8,0,6922,10.28
Mexico,74.9,110.8405,8.6,0,9617,121.86
Czechia,78.6,82.5385,12.7,1,17830,10.55
Benin,60.6,242.9535,3.5,0,1077,10.58
Brazil,75,144.3625,7.6,0,8814,204.47
China,75.9,82.273,7.7,0,8016,1379.86
Kuwait,75.1,58.1365,7.1,0,29870,3.84
Canada,81.9,65.9695,13.1,1,43596,35.7
Albania,78,75.205,9.7,0,3953,2.88
Lesotho,51,513.4755,6.1,0,1146,2.06
Saudi Arabia,74.7,87.974,9.5,0,20628,31.72
India,68.6,177.9465,6.3,0,1606,1310.15
Lithuania,74.3,165.233,13,1,14264,2.9
Malawi,62,294.858,4.4,0,381,16.75
Myanmar,65.8,196.053,4.9,0,1197,52.68
Netherlands,81.5,58.0775,12.1,1,45193,16.94
Mozambique,57.2,332.583,3.5,0,590,27.04
Bulgaria,74.6,136.0675,11.8,1,7075,7.18
Sierra Leone,52.9,397.8705,3.4,0,588,7.17
El Salvador,72.4,182.1595,6.6,0,3706,6.33
Panama,77.8,114.701,9.9,0,13630,3.97
Jordan,74.1,109.942,10.3,0,4164,9.27
Tanzania,63.1,239.667,5.8,0,948,51.48
Gabon,64.9,238.5125,8.1,0,7385,1.95
Azerbaijan,72.3,124.897,10.7,0,5500,9.65
Nigeria,53.1,356.2145,6,0,2687,181.14
Thailand,76.1,148.889,7.6,0,5840,68.71
Mongolia,69.1,212.841,10.1,0,3875,3
Portugal,81.1,73.283,9.1,1,19250,10.36
Comoros,63.5,227.2735,4.8,0,1243,0.78
United Arab Emirates,77.3,68.5765,10.6,0,38663,9.26
Uganda,61.4,311.7215,5.7,0,847,38.23
Pakistan,66.6,160.141,5.1,0,1357,199.43
Ghana,62.8,244.6325,6.9,0,1774,27.85
Finland,81.5,68.8685,12.4,1,42802,5.48
Afghanistan,63.4,227.735,3.6,0,556,34.41
Lebanon,78.8,60.3175,8.5,0,7643,6.53
Slovenia,80.8,73.356,12,1,20890,2.06
Jamaica,74.1,132.2455,9.6,0,4908,2.89
Belgium,81,71.71,11.7,1,41008,11.27
Japan,83.8,53.586,12.5,1,34961,127.14
North Macedonia,75.4,97.197,9.6,0,4862,2.07
Morocco,75.7,70.9135,5,0,2875,34.66
Slovakia,76.6,110.515,12.5,1,16342,5.42
Senegal,66.7,190.0275,2.9,0,1219,14.58
Colombia,76.5,140.0675,8.1,0,6176,47.52
Tajikistan,70.1,134.715,10.5,0,978,8.45
Austria,81.2,64.6875,12.1,1,44196,8.64
Moldova,71.5,171.2775,11.6,0,2732,2.83
Congo (Brazzaville),63.1,262.224,6.3,0,2449,4.86
Namibia,62.1,315.473,6.7,0,4897,2.31
Zimbabwe,59.5,368.141,8.2,0,1445,13.81
Malta,81.9,51.8135,11.2,1,24922,0.45
